jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=object, 
1025,  5985,  completed,  eof,  2014-05-07 17:54:22,  2014-05-07 17:54:25,  3,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  36,  0.05005,  11,  14,  3,  0.05015,  0.857142857143, 
1025,  5986,  completed,  eof,  2014-05-07 17:54:23,  2014-05-07 17:54:26,  3,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  36,  0.05005,  11,  14,  3,  0.05015,  0.8, 
1025,  5987,  completed,  eof,  2014-05-07 17:54:23,  2014-05-07 17:54:25,  2,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  36,  0.05005,  11,  14,  3,  0.05015,  0.971428571429, 
1025,  5988,  completed,  eof,  2014-05-07 17:54:23,  2014-05-07 17:54:27,  4,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  36,  0.0001,  9,  12,  1,  0.1,  0.857142857143, 
1025,  6014,  completed,  eof,  2014-05-07 17:54:24,  2014-05-07 17:54:26,  2,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  36,  0.0001,  9,  12,  1,  0.1,  0.8, 
1025,  6023,  completed,  eof,  2014-05-07 17:54:24,  2014-05-07 17:54:27,  3,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  36,  0.0001,  9,  12,  1,  0.1,  0.971428571429, 
1025,  6041,  completed,  eof,  2014-05-07 17:54:25,  2014-05-07 17:54:28,  3,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  36,  0.1,  12,  16,  5,  0.0003,  0.885714285714, 
1025,  6060,  completed,  eof,  2014-05-07 17:54:25,  2014-05-07 17:54:28,  3,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  36,  0.1,  12,  16,  5,  0.0003,  0.828571428571, 
1025,  6066,  completed,  eof,  2014-05-07 17:54:26,  2014-05-07 17:54:28,  2,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  36,  0.1,  12,  16,  5,  0.0003,  0.942857142857, 
1025,  6074,  completed,  eof,  2014-05-07 17:54:26,  2014-05-07 17:54:29,  3,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  36,  0.025075,  10,  13,  2,  0.075075,  0.857142857143, 
1025,  6085,  completed,  eof,  2014-05-07 17:54:26,  2014-05-07 17:54:29,  3,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  36,  0.025075,  10,  13,  2,  0.075075,  0.8, 
1025,  6086,  completed,  eof,  2014-05-07 17:54:27,  2014-05-07 17:54:29,  2,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  36,  0.025075,  10,  13,  2,  0.075075,  0.942857142857, 
1025,  6097,  completed,  eof,  2014-05-07 17:54:27,  2014-05-07 17:54:29,  2,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  36,  0.075025,  11,  15,  4,  0.025225,  0.857142857143, 
1025,  6098,  completed,  eof,  2014-05-07 17:54:28,  2014-05-07 17:54:30,  2,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  36,  0.075025,  11,  15,  4,  0.025225,  0.8, 
1025,  6099,  completed,  eof,  2014-05-07 17:54:28,  2014-05-07 17:54:30,  2,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  36,  0.075025,  11,  15,  4,  0.025225,  0.942857142857, 
1025,  6107,  completed,  eof,  2014-05-07 17:54:28,  2014-05-07 17:54:31,  3,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  36,  0.055045,  11,  14,  3,  0.055135,  0.857142857143, 
1025,  6111,  completed,  eof,  2014-05-07 17:54:29,  2014-05-07 17:54:31,  2,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  36,  0.055045,  11,  14,  3,  0.055135,  0.8, 
1025,  6112,  completed,  eof,  2014-05-07 17:54:29,  2014-05-07 17:54:32,  3,  modelParams|clParams|alpha_0.0955047148893.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0146608434444,  36,  0.0955047148893,  12,  16,  5,  0.0146608434444,  0.942857142857, 
1025,  6113,  completed,  eof,  2014-05-07 17:54:29,  2014-05-07 17:54:32,  3,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0545408434444,  36,  0.0355647148893,  11,  14,  2,  0.0545408434444,  0.857142857143, 
1025,  6124,  completed,  eof,  2014-05-07 17:54:30,  2014-05-07 17:54:33,  3,  modelParams|clParams|alpha_0.0355647148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0545408434444,  36,  0.0355647148893,  11,  14,  2,  0.0545408434444,  0.8, 
1025,  6135,  completed,  eof,  2014-05-07 17:54:31,  2014-05-07 17:54:33,  2,  modelParams|clParams|alpha_0.0760244297787.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0140666868888,  36,  0.0760244297787,  12,  16,  4,  0.0140666868888,  0.942857142857, 
1025,  6148,  completed,  eof,  2014-05-07 17:54:31,  2014-05-07 17:54:34,  3,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0457591565556,  36,  0.0545452851107,  11,  14,  3,  0.0457591565556,  0.857142857143, 
1025,  6157,  completed,  eof,  2014-05-07 17:54:32,  2014-05-07 17:54:34,  2,  modelParams|clParams|alpha_0.0545452851107.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0457591565556,  36,  0.0545452851107,  11,  14,  3,  0.0457591565556,  0.8, 
1025,  6188,  completed,  eof,  2014-05-07 17:54:33,  2014-05-07 17:54:35,  2,  modelParams|clParams|alpha_0.095005.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.005285,  36,  0.095005,  12,  16,  5,  0.005285,  0.942857142857, 
1025,  6229,  completed,  eof,  2014-05-07 17:54:33,  2014-05-07 17:54:36,  3,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498529217222,  36,  0.0403098574447,  11,  14,  3,  0.0498529217222,  0.857142857143, 
1025,  6270,  completed,  eof,  2014-05-07 17:54:34,  2014-05-07 17:54:36,  2,  modelParams|clParams|alpha_0.0403098574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0498529217222,  36,  0.0403098574447,  11,  14,  3,  0.0498529217222,  0.8, 
1025,  6280,  completed,  eof,  2014-05-07 17:54:35,  2014-05-07 17:54:37,  2,  modelParams|clParams|alpha_0.080769572334.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00937876516661,  36,  0.080769572334,  12,  16,  5,  0.00937876516661,  0.942857142857, 
1025,  6283,  completed,  eof,  2014-05-07 17:54:35,  2014-05-07 17:54:37,  2,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0504470782778,  36,  0.0498001425553,  10,  14,  3,  0.0504470782778,  0.857142857143, 
1025,  6293,  completed,  eof,  2014-05-07 17:54:35,  2014-05-07 17:54:38,  3,  modelParams|clParams|alpha_0.0498001425553.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0504470782778,  36,  0.0498001425553,  10,  14,  3,  0.0504470782778,  0.8, 
1025,  6294,  completed,  eof,  2014-05-07 17:54:36,  2014-05-07 17:54:39,  3,  modelParams|clParams|alpha_0.0902598574447.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0099729217222,  36,  0.0902598574447,  11,  16,  5,  0.0099729217222,  0.942857142857, 
1025,  6300,  completed,  eof,  2014-05-07 17:54:36,  2014-05-07 17:54:39,  3,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0511265063173,  36,  0.0509293848252,  11,  14,  3,  0.0511265063173,  0.857142857143, 
1025,  6326,  completed,  eof,  2014-05-07 17:54:37,  2014-05-07 17:54:39,  2,  modelParams|clParams|alpha_0.0509293848252.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0511265063173,  36,  0.0509293848252,  11,  14,  3,  0.0511265063173,  0.8, 
1025,  6327,  completed,  eof,  2014-05-07 17:54:37,  2014-05-07 17:54:40,  3,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  36,  0.1,  12,  16,  5,  0.0003,  0.942857142857, 
1025,  6328,  completed,  eof,  2014-05-07 17:54:38,  2014-05-07 17:54:40,  2,  modelParams|clParams|alpha_0.0468033849804.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0506208978964,  36,  0.0468033849804,  11,  14,  3,  0.0506208978964,  0.8, 
1025,  6329,  completed,  eof,  2014-05-07 17:54:38,  2014-05-07 17:54:40,  2,  modelParams|clParams|alpha_0.0821931889439.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0166301549433,  36,  0.0821931889439,  12,  16,  4,  0.0166301549433,  0.942857142857, 
